ano,id_municipio,idhm,idhm_e,idhm_l,idhm_r,localizacao,raca_cor,sexo,sigla_uf
2000,1200203,0.461,0.261,0.693,0.541,rural,branco,homem,AC
2000,1200138,,,,0.777,urbano,branco,homem,AC
2000,1200807,0.416,0.195,0.685,0.54,total,total,homem,AC
2000,1200138,0.546,0.395,0.734,0.563,urbano,negro,homem,AC
2000,1200302,0.42,0.215,0.682,0.507,urbano,negro,homem,AC
2000,1600501,0.589,0.369,0.76,0.727,urbano,negro,homem,AP
2000,1303403,0.585,0.449,0.745,0.597,total,branco,homem,AM
2000,1304062,,,,0.376,rural,branco,homem,AM
2000,1300631,0.525,0.373,0.665,0.583,urbano,branco,homem,AM
2000,1302553,0.63,0.465,0.785,0.686,urbano,branco,homem,AM
2000,1301407,0.406,0.232,0.652,0.442,total,negro,homem,AM
2000,1300086,0.32,0.119,0.655,0.417,rural,negro,homem,AM
2000,2705507,0.451,0.27,0.669,0.509,total,branco,homem,AL
2000,2707602,0.37,0.177,0.667,0.428,rural,branco,homem,AL
2000,2700706,0.531,0.317,0.719,0.657,urbano,branco,homem,AL
2000,2701357,0.417,0.228,0.68,0.469,urbano,branco,homem,AL
2000,2701407,0.441,0.254,0.671,0.503,urbano,branco,homem,AL
2000,2702108,0.45,0.264,0.67,0.516,urbano,branco,homem,AL
2000,2703205,,,,0.535,urbano,branco,homem,AL
2000,2706307,0.573,0.416,0.745,0.608,urbano,branco,homem,AL
2000,2703007,0.328,0.12,0.635,0.461,total,total,homem,AL
2000,2709301,0.408,0.205,0.66,0.502,total,total,homem,AL
2000,2705507,0.446,0.273,0.68,0.477,urbano,total,homem,AL
2000,2700300,0.459,0.263,0.698,0.526,total,negro,homem,AL
2000,2707107,0.365,0.174,0.635,0.441,total,negro,homem,AL
2000,2708956,0.289,0.112,0.605,0.357,total,negro,homem,AL
2000,2703205,0.342,0.164,0.622,0.394,rural,negro,homem,AL
2000,2705101,0.374,0.182,0.647,0.444,urbano,negro,homem,AL
2000,2705309,0.427,0.264,0.646,0.456,urbano,negro,homem,AL
2000,5000856,0.589,0.439,0.792,0.587,total,branco,homem,MS
2000,5004502,0.607,0.438,0.777,0.657,total,branco,homem,MS
2000,5001904,0.695,0.602,0.802,0.696,urbano,branco,homem,MS
