ano,sigla_uf,id_municipio,raca_cor,sexo,localizacao,idhm,idhm_l,idhm_e,idhm_r,idhm_subescolaridade,idhm_subfrequencia,prosperidade_social,proporcao_vulnerabilidade_socioeconomica,proporcao_sem_agua_esgoto,proporcao_sem_coleta,renda_per_capita,proporcao_sem_renda_18_mais,renda_trabalho,proporcao_vulneravel,razao_dependencia,fecundidade_total,taxa_envelhecimento,mortalidade_1_menos,proporcao_crianca_fora_escola_6_14,proporcao_analfabetismo_18_mais,proporcao_fundamental_completo_18_mais,proporcao_medio_completo_18_20,expectativa_vida,populacao_18_mais,populacao_65_mais
2000,AC,1200807,total,homem,total,0.416,0.685,0.195,0.54,0.137,0.233,,,37.64,22.39,230.37,16.21,80.43,74.28,73.58,,4.33,37.69,21.78,32.78,13.7,0.0,66.07,3443,263
2000,AL,2703007,total,homem,total,0.328,0.635,0.12,0.461,0.067,0.161,,,26.46,8.83,141.21,5.74,82.05,87.05,84.09,,7.06,55.71,27.05,53.31,6.73,0.0,63.09,4033,527
2000,AL,2709301,total,homem,total,0.408,0.66,0.205,0.502,0.16,0.232,,,5.95,8.71,181.35,7.11,80.52,83.11,75.39,,5.68,46.79,22.01,44.47,15.98,4.21,64.62,15833,1600
2000,MS,5003256,total,homem,total,0.613,0.785,0.383,0.765,0.233,0.491,,,4.71,4.96,936.74,1.29,97.16,51.38,53.73,,5.33,20.44,1.96,13.92,23.34,10.43,72.1,5160,419
2000,MS,5004700,total,homem,total,0.602,0.791,0.44,0.627,0.291,0.541,,,7.01,6.91,395.52,5.13,91.82,54.43,51.28,,6.0,19.37,6.62,13.13,29.07,26.58,72.46,7189,643
2000,ES,3200805,total,homem,total,0.594,0.773,0.44,0.617,0.294,0.538,,,4.32,16.77,372.07,4.95,80.45,57.12,54.81,,6.76,22.02,6.0,15.74,29.4,23.85,71.39,8855,921
2000,PA,1505486,total,homem,total,0.342,0.676,0.105,0.56,0.046,0.159,,,26.42,72.55,260.2,19.82,90.62,80.27,79.71,,3.43,39.39,23.61,32.84,4.62,0.0,65.54,7999,491
2000,PA,1507961,total,homem,total,0.48,0.709,0.308,0.505,0.234,0.354,,,66.33,57.88,185.0,7.86,86.89,83.28,74.17,,4.37,35.18,6.49,14.15,23.35,0.0,67.55,2293,186
2000,CE,2304251,total,homem,total,0.42,0.68,0.239,0.457,0.086,0.4,,,36.31,39.15,137.25,19.53,76.68,88.54,76.89,,5.24,42.62,5.26,44.78,8.55,3.94,65.82,5326,515
2000,CE,2305332,total,homem,total,0.431,0.678,0.27,0.436,0.124,0.398,,,37.87,18.5,120.75,31.89,76.83,90.23,67.36,,5.55,43.88,3.54,43.86,12.38,6.08,65.71,2848,271
2000,CE,2310001,total,homem,total,0.486,0.72,0.362,0.44,0.181,0.512,,,5.58,28.91,123.65,56.76,61.49,87.91,70.5,,8.52,33.48,3.4,41.36,18.09,11.43,68.17,2386,346
2000,CE,2311702,total,homem,total,0.438,0.672,0.263,0.477,0.146,0.353,,,22.88,28.68,155.59,11.03,63.77,87.18,82.42,,9.4,42.51,7.94,47.8,14.56,3.06,65.35,6023,988
2000,CE,2313559,total,homem,total,0.422,0.679,0.265,0.419,0.145,0.357,,,19.26,84.66,108.65,42.22,55.51,91.16,80.09,,6.8,44.39,11.59,47.32,14.52,7.85,65.71,3269,398
2000,CE,2313906,total,homem,total,0.379,0.652,0.203,0.413,0.089,0.306,,,11.27,27.8,104.45,28.93,62.61,92.27,78.72,,6.05,48.95,12.78,51.31,8.88,2.55,64.1,3254,354
2000,MT,5101902,total,homem,total,0.511,0.762,0.259,0.676,0.187,0.305,,,14.42,23.41,536.28,9.65,95.29,44.92,57.33,,3.08,22.67,16.58,14.0,18.68,8.08,70.73,3220,157
2000,GO,5200506,total,homem,total,0.594,0.788,0.388,0.685,0.225,0.509,,,1.07,8.36,568.74,1.25,89.65,48.94,44.62,,7.44,21.78,6.38,17.28,22.53,12.99,72.3,795,80
2000,GO,5217401,total,homem,total,0.644,0.818,0.465,0.703,0.345,0.539,,,3.36,13.96,634.38,0.49,84.52,43.18,49.74,,6.91,17.11,4.56,8.24,34.47,13.54,74.07,8850,891
2000,GO,5221577,total,homem,total,0.517,0.754,0.348,0.526,0.175,0.491,,,12.57,1.0,211.62,8.08,87.27,80.37,55.05,,4.44,26.94,1.44,21.0,17.51,6.43,70.26,1016,71
2000,GO,5208004,total,homem,total,0.598,0.768,0.426,0.654,0.341,0.476,,,8.32,10.02,467.97,1.79,89.66,55.47,59.43,,3.72,23.03,7.11,13.46,34.09,19.75,71.08,23250,1437
2000,RJ,3300704,total,homem,total,0.616,0.786,0.429,0.696,0.386,0.451,,,5.93,3.44,607.56,0.72,77.12,42.31,53.38,,4.53,20.97,8.1,8.57,38.6,10.01,72.14,40078,2832
2000,RJ,3302007,total,homem,total,0.615,0.775,0.451,0.665,0.39,0.485,,,4.75,8.9,500.65,0.74,80.14,43.01,52.45,,4.55,22.26,3.59,7.44,39.04,10.35,71.51,26026,1837
2010,RO,1100106,total,homem,total,0.643,0.798,0.499,0.666,0.471,0.513,,1.38,38.12,10.6,505.52,4.81,85.69,44.2,58.9,,4.7,19.14,6.82,9.33,47.14,22.98,72.9,12840,963
2010,RO,1100189,total,homem,total,0.703,0.829,0.577,0.728,0.454,0.651,,2.36,4.69,1.82,740.06,1.69,82.39,24.64,47.73,,5.73,14.57,3.8,7.46,45.43,39.48,74.73,11457,970
2010,RO,1101807,total,homem,total,0.588,0.793,0.397,0.647,0.253,0.497,,3.98,5.95,7.14,448.02,13.72,77.28,55.38,46.56,,5.45,19.91,3.16,13.67,25.31,10.21,72.56,2852,231
2000,MA,2102200,total,homem,total,0.376,0.644,0.201,0.409,0.108,0.274,,,4.14,90.53,101.88,30.31,72.29,91.75,89.26,,5.4,45.9,7.51,47.87,10.83,2.0,63.64,6197,666
2000,MA,2102754,total,homem,total,0.361,0.638,0.176,0.419,0.092,0.244,,,8.05,75.43,108.46,4.57,79.3,91.61,76.97,,6.55,50.64,8.64,43.42,9.2,2.54,63.26,2933,347
2000,MA,2102804,total,homem,total,0.48,0.708,0.296,0.529,0.218,0.345,,,5.22,38.07,214.72,24.2,74.26,77.08,78.13,,6.01,33.23,11.58,27.38,21.85,0.62,67.49,6576,720
2000,MA,2104081,total,homem,total,0.271,0.613,0.076,0.426,0.044,0.101,,,0.0,100.0,113.44,10.88,87.38,95.42,86.76,,4.55,54.69,23.1,56.51,4.39,0.0,61.77,1233,114
2000,MA,2105427,total,homem,total,0.514,0.709,0.295,0.649,0.161,0.4,,,47.28,22.8,454.15,7.41,95.55,74.63,67.5,,2.79,35.26,11.13,29.89,16.09,4.62,67.57,6449,325
2000,MA,2106201,total,homem,total,0.46,0.694,0.3,0.466,0.153,0.42,,,75.15,100.0,145.62,20.07,84.6,84.64,83.32,,4.98,40.84,1.93,29.29,15.31,0.0,66.62,1582,147
2000,MA,2107001,total,homem,total,0.397,0.672,0.204,0.457,0.111,0.278,,,18.76,56.76,137.36,29.53,79.46,87.75,74.44,,6.03,41.04,10.22,32.0,11.06,0.66,65.34,3002,324
2000,PE,2602209,total,homem,total,0.424,0.688,0.24,0.461,0.124,0.334,,,48.14,39.47,140.98,35.17,74.17,85.85,70.42,,7.73,40.5,8.96,39.05,12.38,3.84,66.28,10659,1397
2000,PE,2611408,total,homem,total,0.417,0.67,0.223,0.484,0.118,0.306,,,18.42,23.04,162.92,5.48,79.18,85.24,68.83,,5.98,45.2,9.41,37.85,11.83,4.2,65.17,3416,352
2000,PE,2607901,total,homem,total,0.617,0.767,0.468,0.654,0.433,0.486,,,15.82,28.42,467.4,0.89,79.97,59.81,52.23,,3.61,24.47,7.18,11.31,43.34,16.53,71.03,173806,9960
2010,AP,1600501,total,homem,total,0.634,0.775,0.479,0.687,0.43,0.506,,19.71,45.25,5.09,576.71,9.78,93.0,49.06,64.88,,2.55,22.83,4.82,10.33,43.0,19.49,71.49,6219,266
2010,AM,1302405,total,homem,total,0.515,0.72,0.349,0.545,0.268,0.398,,11.05,29.22,19.0,237.6,25.15,79.94,72.9,70.81,,4.02,31.44,15.11,32.27,26.82,11.93,68.19,10815,781
2000,RN,2403202,total,homem,total,0.371,0.627,0.196,0.415,0.084,0.3,,,31.97,5.02,106.15,80.17,51.97,88.85,67.99,,6.01,58.63,7.88,50.69,8.37,4.89,62.61,1898,196
2000,RN,2409100,total,homem,total,0.442,0.664,0.274,0.474,0.133,0.394,,,54.75,3.25,152.61,25.09,64.18,85.75,75.14,,7.3,48.85,7.38,48.56,13.34,1.89,64.87,2387,301
